reservationId	financeFieldId	type	name	title	value	total	isIncludedInTotalPrice	isOverriddenByUser	isMandatory	isDeleted
55943028	229746025	totals	totalPriceFromChannel	Total price from channel	703.46	703.46	0	0	0	0
55377361	226915481	totals	totalPaid	Total paid	136.66	136.66	0	0	0	0
55377361	226915483	commissions	hostChannelFee	Host channel fee	22.22	22.22	0	0	0	0
55377361	226915484	commissions	otaPaymentProcessingFee	OTA payment processing fee	1.91	1.91	0	0	0	0
55377361	226915486	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55377361	226915488	tax	vat	VAT / GST	8.25	8.25	1	0	1	0
55377361	226915490	tax	cityTax	City / Tourism tax	5.94	5.94	1	0	1	0
55377361	226915492	accommodation	baseRate	Base rate	82.47	82.47	1	0	1	0
55377361	226915496	totals	totalPriceFromChannel	Total price from channel	136.66	136.66	0	0	0	0
55896826	229499936	totals	airbnbPayoutSum	Airbnb payout sum	200.24	200.24	0	0	0	0
55896826	229499937	accommodation	baseRate	Base rate	165.2	165.2	1	0	1	0
55896826	229499938	totals	totalPriceFromChannel	Total price from channel	165.2	165.2	0	0	0	0
55534927	227637021	totals	totalPaid	Total paid	379.09	379.09	0	0	0	0
55534927	227637022	fee	cleaningFee	Cleaning fee	80.0	80.0	1	0	1	0
55534927	227637023	tax	salesTax	Sales tax	20.09	20.09	1	0	1	0
55534927	227637024	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	20.09	20.09	0	0	0	0
55534927	227637025	totals	airbnbPayoutSum	Airbnb payout sum	292.22	292.22	0	0	0	0
55534927	227637026	commissions	cancellationHostFee	Cancellation host fee	66.78	66.78	0	0	0	0
55534927	227637027	accommodation	pricePerExtraPerson	Price for extra person	30.0	30.0	1	0	1	0
55534927	227637028	accommodation	baseRate	Base rate	249.0	249.0	1	0	1	0
55534927	227637029	commissions	hostChannelFee	Host channel fee	66.78	66.78	0	0	0	0
55534927	227637030	totals	totalPriceFromChannel	Total price from channel	379.09	379.09	0	0	0	0
55942328	229741491	totals	totalPaid	Total paid	186.71	186.71	0	0	0	0
55942328	229741492	commissions	hostChannelFee	Host channel fee	30.21	30.21	0	0	0	0
55942328	229741493	commissions	otaPaymentProcessingFee	OTA payment processing fee	2.61	2.61	0	0	0	0
55942328	229741494	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55942328	229741495	tax	vat	VAT / GST	12.52	12.52	1	0	1	0
55942328	229741496	tax	cityTax	City / Tourism tax	9.01	9.01	1	0	1	0
55942328	229741497	accommodation	baseRate	Base rate	125.18	125.18	1	0	1	0
55942328	229741498	totals	totalPriceFromChannel	Total price from channel	186.71	186.71	0	0	0	0
55905379	229547050	totals	totalPaid	Total paid	150.42	150.42	0	0	0	0
55905379	229547051	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
55905379	229547052	tax	salesTax	Sales tax	7.42	7.42	1	0	1	0
55905379	229547053	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	7.42	7.42	0	0	0	0
55905379	229547054	totals	airbnbPayoutSum	Airbnb payout sum	116.4	116.4	0	0	0	0
55905379	229547055	commissions	cancellationHostFee	Cancellation host fee	26.6	26.6	0	0	0	0
55905379	229547056	accommodation	baseRate	Base rate	103.0	103.0	1	0	1	0
55905379	229547057	commissions	hostChannelFee	Host channel fee	26.6	26.6	0	0	0	0
55905379	229547058	totals	totalPriceFromChannel	Total price from channel	150.42	150.42	0	0	0	0
55816954	229032748	totals	totalPaid	Total paid	494.15	494.15	0	0	0	0
55816954	229032749	fee	cleaningFee	Cleaning fee	80.0	80.0	1	0	1	0
55816954	229032750	tax	salesTax	Sales tax	17.15	17.15	1	0	1	0
55816954	229032751	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	17.15	17.15	0	0	0	0
55816954	229032752	totals	airbnbPayoutSum	Airbnb payout sum	388.27	388.27	0	0	0	0
55816954	229032753	commissions	cancellationHostFee	Cancellation host fee	88.73	88.73	0	0	0	0
55816954	229032754	accommodation	pricePerExtraPerson	Price for extra person	30.0	30.0	1	0	1	0
55816954	229032755	accommodation	baseRate	Base rate	367.0	367.0	1	0	1	0
55816954	229032756	commissions	hostChannelFee	Host channel fee	88.73	88.73	0	0	0	0
55816954	229032757	totals	totalPriceFromChannel	Total price from channel	494.15	494.15	0	0	0	0
55816464	229030709	totals	totalPaid	Total paid	141.14	141.14	0	0	0	0
55816464	229030710	fee	cleaningFee	Cleaning fee	35.0	35.0	1	0	1	0
55816464	229030711	tax	salesTax	Sales tax	7.14	7.14	1	0	1	0
55816464	229030712	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	7.14	7.14	0	0	0	0
55816464	229030713	totals	airbnbPayoutSum	Airbnb payout sum	109.08	109.08	0	0	0	0
55816464	229030714	commissions	cancellationHostFee	Cancellation host fee	24.92	24.92	0	0	0	0
55816464	229030715	accommodation	baseRate	Base rate	99.0	99.0	1	0	1	0
